band_name,fans,formed,origin,split,style
Slash's Snakepit,4,1995,USA,2001,"Hard rock,Blues rock"
Speed\Kill/Hate,4,2002,USA,2002,Thrash
Spheron,4,2007,Germany,,Death
Sportlov,4,2000,Sweden,2000,Black
Squash Bowels,4,1994,Poland,,Goregrind
Star Queen,4,2001,Bulgaria,2001,"Symphonic power,Symphonic gothic"
Stormhammer,4,1993,Germany,,Power
Stride,4,1996,USA,1996,"Progressive,Progressive rock"
Strikelight,4,1999,Greece,,Heavy
Sworn (ARM),4,2005,Armenia,2005,Symphonic black
Symphonic Destiny,4,2014,Serbia,,Symphonic
Tacoma Narrows Bridge Disaster,4,2008,United Kingdom,2008,"Post-,Rock ,Post-metal"
Teethgrinder,4,2013,The Netherlands,,Grindcore
The 3rd Attempt,4,2014,Norway,2014,Black
The Infernal Sea,4,2010,United Kingdom,,Black
The Kill,4,2000,Australia,2000,Grindcore
The Moaning,4,1994,Sweden,1997,Melodic death
The Old Wind,4,2013,Sweden,2013,Post-metal
The Ritual Aura,4,2015,Australia,,"Progressive death,Technical death"
The Scourger,4,2003,Finland,2003,Thrash
The Ugly,4,2004,Sweden,,Black
Third Ion,4,2010,Canada,2010,Progressive
This Gift Is A Curse,4,2008,Sweden,,"Black,Sludge,Hardcore"
Thormesis,4,2006,Germany,2006,Pagan black
Thy Wicked,4,2000,Germany,,"Pagan black,Folk"
Total Devastation,4,1998,Finland,1998,Industrial death
Undergang,4,2008,Denmark,,Death
Ur Draugr,4,2014,Australia,2014,Blackened death
Vagrant God,4,2007,Norway,,Gothic
Vainaja,4,2011,Finland,2011,Death doom
Valkyrie,4,2002,USA,,"Doom,Heavy"
Violet Cold,4,2013,Azerbaijan,2013,Shoegaze
Visceral Throne,4,2009,USA,,Brutal death
Volture,4,2008,USA,2008,Heavy
Vortech,4,2000,Finland,,"Industrial,Death"
Vulturium Memoriae,4,2006,Italy,2006,"Avantgarde doom,Drone"
Weekend Nachos,4,2004,USA,2016,"Grindcore,Hardcore,Punk"
Westfield Massacre,4,2014,USA,2014,"Metalcore,Melodic death"
Whispering Woods,4,2008,Romania,,Gothic doom
Wild Throne,4,2013,USA,2013,Progressive
Winterlong,4,1998,Sweden,,"Power,Progressive"
Wolfsbane,4,1984,United Kingdom,1984,"Glam,Heavy,Hard rock"
Wormreich,4,2009,USA,,Black
Worms Of Sabnock,4,2003,United Kingdom,2003,Melodic black
Wound,4,2011,Germany,,Death
Xibalba (USA),4,2007,USA,2007,"Death,Hardcore"
Xul,4,2008,Canada,,Blackened death
Xysma,4,1988,Finland,1988,"Grindcore,Death ',N',Roll ,Hard rock,Rock"
Yonder Realm,4,2009,USA,,Folk
Église,3,2011,Denmark,2011,"Post-metal,Hardcore"
(V.E.G.A.),3,1998,Italy,,Industrial black
2 Ton Predator,3,1993,Sweden,1993,Thrash
24-7 Spyz,3,1986,USA,,"Alternative,Funk rock,Crossover thrash"
A Pregnant Light,3,2009,USA,2009,"Black,Post-metal,Hardcore"
A.I.(d),3,2010,France,,Djent
A.M.S.G.,3,2007,Canada,2007,Black
Abaddon Incarnate,3,1994,Ireland,,"Grindcore,Death"
Abaton,3,2009,Italy,2009,"Doom,Black"
Ad Inferna,3,2000,France,2015,"Symphonic black,Gothic,Electro industrial"
Aenygmist,3,2007,Canada,2007,Melodic black
Ah Ciliz,3,2008,USA,,"Atmospheric black,Depressive black"
Aleph,3,1998,Italy,1998,"Death,Thrash,Progressive"
AnachroniA,3,2000,France,,"Gothic,Melodic progressive"
Anal Stench,3,2001,Poland,2001,Death
Angmar,3,2002,France,,Black
Anima Damnata,3,1996,Poland,1996,"Black,Death"
Antipope,3,2004,Finland,,"Black,Progressive black,Extreme progressive"
Aphonic Threnody,3,2012,United Kingdom,2012,Funeral doom
Apostle Of Solitude,3,2004,USA,,Doom
Archon,3,2008,USA,2008,"Psychedelic doom,Sludge,Stoner"
As We Fight,3,2001,Denmark,2011,Metalcore
Asmodeus (AUT),3,1996,Austria,1996,Black
Assailant,3,2004,Sweden,,Progressive power
At The Lake,3,2005,Poland,2005,Symphonic folk
Atrament,3,2014,USA,,"Black,Crust,Punk"
Atrorum,3,1998,Germany,1998,Avantgarde black
Auspex,3,2001,France,,"Power,Progressive power"
Avenger (Ger),3,1984,Germany,1984,"Speed,Heavy"
Baring Teeth,3,2007,USA,,"Progressive death,Technical death"
Barishi,3,2010,USA,2010,Progressive
Bastard Sapling,3,2007,USA,,Black
Before Eden,3,1998,Brazil,1998,Progressive power
Before The Harvest,3,2011,Australia,,Symphonic deathcore
Beyond The Dust,3,2010,France,2010,"Progressive,Djent"
Black Hole Generator,3,2006,Norway,,Industrial black
Black Star Riders,3,2012,USA,2012,Hard rock
Blessed Death,3,1984,USA,1992,"Thrash,Speed"
Blind Fury,3,1983,United Kingdom,1983,"New,Wave,Of british heavy"
Blockheads,3,1992,France,,Grindcore
Bloodmoon,3,2010,USA,2010,"Progressive sludge,Doom"
Brothers Of The Sonic Cloth,3,2007,USA,,"Doom,Sludge,Stoner"
Brutart,3,2000,Slovenia,2000,Doom
Buried At Sea,3,2001,USA,,"Drone doom,Sludge"
By Night,3,1999,Sweden,1999,Thrash
Calvarium,3,2001,Finland,,Black
Cancerous Womb,3,2008,United Kingdom,2008,"Death,Grindcore"
Celestial Decay,3,2008,Sweden,,Symphonic power
Centimani,3,2006,USA,2006,"Melodic death,Melodic black"
Chasse-Galerie,3,2007,Canada,,Black
Chemical Breath,3,1990,Belgium,1990,"Technical death,Thrash"
Church Bizarre,3,2001,Denmark,,"Death,Black"
Church Of Void,3,2010,Finland,2010,Doom
Circle Of Dust,3,1988,USA,,Industrial
Clairvoyants,3,2001,Italy,2001,Heavy
Cognizance,3,2012,United Kingdom,,"Melodic death,Technical death,Deathcore"
Collapse 7,3,1992,Austria,1992,Melodic death
Contrarian,3,2014,USA,,Progressive death
Corrupt Moral Altar,3,2012,United Kingdom,2012,Grindcore
Cowards,3,2011,France,,"Black,Sludge,Hardcore"
Crescent Shield,3,2000,USA,2000,Power
Crimsonfire,3,1997,Australia,,Power
Crowhurst,3,2011,USA,2011,"Experimental black,Noise"
Crowned,3,2010,Australia,,Black
Cruadalach,3,2008,Czech Republic,2008,Folk
Curse,3,1995,Iceland,,Black
Cyanide Serenity,3,2008,United Kingdom,2008,Melodic metalcore
Cyclone,3,1980,Belgium,1993,Thrash
Danse Macabre,3,1995,The Netherlands,1995,Gothic
Dark Domination,3,1996,Latvia,,Black
Dawn Of Winter,3,1990,Germany,1990,Doom
Dawn On Sedna,3,2013,Italy,,Post-metal
De Arma,3,2009,Sweden,2009,"Black,Post-metal"
Dead Instrument,3,2007,Denmark,,Grindcore
Death Strike,3,1984,USA,1984,Death
Deathraiser,3,2006,Brazil,,Thrash
Decomposed,3,1990,United Kingdom,1990,"Death,Doom"
Derkéta,3,1988,USA,,Death doom
Desolation Angels,3,1981,United Kingdom,1981,"New wave of british heavy,Heavy"
Destroying Divinity,3,2001,Czech Republic,,Death
DinUmbr?,3,1998,Romania,1998,"Death doom,Gothic doom"
Dissolution,3,2003,Canada,,"Melodic death,Technical thrash"
Dol Theeta,3,2008,Greece,2008,Electronic symphonic
Down Among The Dead Men,3,2013,Sweden,,Death
Duff McKagan's Loaded,3,1999,USA,1999,Hard rock
Dungortheb,3,1996,France,,Technical death
Dynazty,3,2007,Sweden,2007,"Heavy,Hard rock,Melodic power"
Dyslesia,3,1986,France,,Melodic power
Ecferus,3,2014,USA,2014,Black
Echo Of Dalriada,3,1998,Hungary,2006,Folk
Eden Weint Im Grab,3,2004,Germany,2004,Gothic
Edenfall,3,2009,United Kingdom,,Gothic doom
Effloresce,3,2008,Germany,2008,Progressive
Ellipsis,3,1995,France,,Symphonic progressive
Emergency Gate,3,1996,Germany,1996,Power
Eternal Majesty,3,1995,France,,Black
Ethereal Blue,3,2002,Greece,2002,Atmospheric death
Evidence One,3,2001,Germany,,Melodic hard rock
Ewigkeit,3,1994,United Kingdom,1994,Black
Executer,3,1985,Brazil,,Thrash
Exhale,3,2004,Sweden,2004,Grindcore
Exmortem,3,1992,Denmark,2010,Death
Face Of Oblivion,3,2009,USA,2009,Technical death
Falaise,3,2015,Italy,,"Atmospheric black,Post-metal"
Fall Of Empyrean,3,2000,USA,2000,Death doom
Fate,3,1984,Denmark,,Hard rock
Feridea,3,2012,Finland,2012,"Symphonic,Gothic"
Feto In Fetus,3,2004,Poland,,Deathgrind
Finnugor,3,2001,Hungary,2001,"Symphonic black,Industrial black"
Fogland,3,1997,Romania,,"Folk,Melodic black"
Forgive-Me-Not,3,1996,Russia,1996,Gothic doom
Fright Night,3,2005,Russia,,"Gothic rock,Gothic"
Geïst,3,2005,Germany,2005,Black
Generation Kill,3,2009,USA,,Crossover thrash
Geoff Tate's Queensrÿche,3,2012,USA,2012,Progressive
Gillan,3,1978,United Kingdom,1982,Hard rock
Goathemy,3,1995,Finland,1995,Melodic black
God.Fear.None,3,2004,Greece,,"Melodic death,Metalcore"
Graveshadow,3,2012,USA,2012,"Symphonic,Gothic"
Graveyard (ESP),3,2007,Spain,,Death
Griftegård,3,2005,Sweden,2005,Doom
Grima,3,2014,Russia,,Atmospheric black
Grimfist,3,2001,Norway,2001,"Black,Death"
Gurd,3,1994,Switzerland,,Thrash
Hacavitz,3,2003,Mexico,2003,"Blackened death,Black"
Haeres,3,2009,Canada,,Black
Hardingrock,3,2005,Norway,2005,"Folk,Rock"
Havoc Unit,3,2005,Finland,2013,"Industrial,Experimental black"
Hell:On,3,2005,Ukraine,2005,Thrash
Hellfueled,3,1998,Sweden,,Heavy
Hexis,3,2010,Denmark,2010,"Black,Hardcore"
High Priest Of Saturn,3,2011,Norway,,"Doom,Stoner,Psychedelic rock"
High Spirits,3,2009,USA,2009,"Hard rock,Heavy"
Horizon Ablaze,3,2008,Norway,,Death
Houwitser,3,1997,The Netherlands,1997,Death
Hybris,3,2010,United Kingdom,,Progressive thrash
Hyems,3,2000,Germany,2000,Melodic black
Ian Gillan,3,1982,United Kingdom,,"Hard rock,Pop rock,Blues rock"
Implant Pentru Refuz,3,1995,Romania,1995,"Hardcore,Metalcore"
In Twilight's Embrace,3,2005,Poland,,"Metalcore,Melodic death,Death"
Infera Bruo,3,2009,USA,2009,Progressive black
Inspell,3,2003,Bulgaria,,Symphonic black
Iron Hearse,3,2002,United Kingdom,2002,Doom
Jaded Star,3,2013,Greece,,Melodic power
Kenziner,3,1997,Finland,1997,Power
Kinetik,3,2007,USA,,"Industrial,Groove thrash"
Kowloon Walled City,3,2007,USA,2007,Sludge
L'Esprit Du Clan,3,1992,France,,Metalcore
Last Sacrament,3,2005,USA,2005,Death
Laster,3,2012,The Netherlands,,Atmospheric black
Latitude Egress,3,2007,Germany,2007,"Black,Funeral doom,Atmospheric doom"
Lechery,3,2004,Sweden,,Heavy
Lefay,3,1997,Sweden,1997,"Power,Thrash"
Let Me Dream,3,1989,Finland,,Gothic doom
Level 10,3,2014,,2014,"Heavy,Power"
Lightning,3,2002,Japan,,"Heavy,Power"
Lorn,3,1999,Italy,1999,Black
Loss,3,2000,Sweden,,Death
Lothlöryen,3,2002,Brazil,2002,"Melodic power,Folk"
Love Lies Bleeding,3,1996,France,2008,"Atmospheric black,Doom"
Magister Templi,3,2008,Norway,2008,"Hard rock,Heavy,Doom"
Majster Kat,3,2001,Slovak Republic,,Thrash
Makrothumia,3,1994,Romania,1994,"Death doom,Progressive"
Mandator,3,1987,The Netherlands,1993,"Speed,Thrash"
Manitou,3,1997,Finland,1997,Progressive heavy
Maveth,3,2007,Finland,,Blackened death
Mayze,3,2012,Germany,2012,"Progressive,Gothic"
Medico Peste,3,2010,Poland,,Black
Mefisto,3,1984,Sweden,1984,"Black,Death,Thrash"
Menace,3,2013,United Kingdom,,"Progressive,Hard rock"
Mhorgl,3,2004,Australia,2004,Black
Middian,3,2005,USA,2008,"Doom,Sludge"
Mind Odyssey,3,1993,Germany,1993,Progressive
Misery Inc.,3,2001,Finland,2008,"Gothic,Death"
Morbosidad,3,1993,USA,1993,"Black,Death"
Moth,3,2011,USA,,"Melodic death,Progressive"
Mother Witch & Dead Water Ghosts,3,2013,Ukraine,2013,"Doom,Psychedelic rock"
Mystic Force,3,1986,USA,2005,"Us power,Progressive"
Nachtlieder,3,2008,Sweden,2008,Black
Necrite,3,2004,USA,,"Ambient black,Drone"
Nevaloth,3,2008,Slovak Republic,2008,Atmospheric black
Nevolution,3,2004,Iceland,,Melodic death
Night Magic,3,2006,USA,2006,Doom
No-Big-Silence,3,1989,Estonia,,"Death,Industrial"
Noisear,3,1999,USA,1999,Grindcore
Nonsun,3,2011,Ukraine,,"Drone doom,Sludge"
Norska,3,2009,USA,2009,"Doom,Sludge"
Ocean Chief,3,2001,Sweden,,"Doom,Sludge,Stoner"
"Oh, Sleeper",3,2006,USA,2006,Metalcore
Ol Drake,3,2013,United Kingdom,,"Heavy,Hard rock"
Omen (HUN),3,1990,Hungary,1990,"Thrash,Speed"
Omnerod,3,2009,Belgium,,Extreme progressive
Ordog,3,2005,Finland,2005,Doom
Oruga,3,2010,France,,"Doom,Sludge,Stoner"
Ostrogoth,3,1976,Belgium,1976,Heavy
Over Your Threshold,3,2006,Germany,,Progressive death
P.L.F.,3,1999,USA,1999,Grindcore
Persephone's Dream,3,1993,USA,,"Progressive rock,Progressive"
Perzonal War,3,1996,Germany,1996,"Power,Thrash"
Phantom Winter,3,2014,Germany,,Sludge
Planks,3,2007,Germany,2007,Blackened sludge
Plateau Sigma,3,2010,Italy,,Doom
Poison Sun,3,2010,Germany,2010,Heavy
Possession,3,2012,Belgium,,"Black,Death"
Posthum,3,2004,Norway,2004,Progressive black
Primal Rock Rebellion,3,2011,United Kingdom,,"Heavy,Alternative"
Profusion,3,2001,Italy,2001,"Progressive,Fusion"
Prohod,3,2012,Romania,,"Atmospheric black,Melodic black"
Project Pain,3,2011,The Netherlands,2011,Thrash
Queiron,3,1995,Brazil,,Brutal death
Quest Of Aidance,3,2004,Sweden,2004,"Melodic death,Grindcore"
Ravager,3,1997,Mexico,2003,Brutal death
Reasons Behind,3,2010,Italy,2010,Symphonic power
Rendezvous Point,3,2010,Norway,,Progressive
Resurrection Kings,3,2015,USA,2015,Hard rock
Revolted Masses,3,2008,Greece,,"Progressive death,Thrash"
Rippikoulu,3,1990,Finland,1990,Death
RoadkillSoda,3,2011,Romania,,"Sludge,Stoner"
Rosae Crucis,3,1990,Italy,1990,Heavy
Sadness,3,1989,Switzerland,1998,"Death doom,Gothic doom"
Samothrace,3,2006,USA,2006,"Doom,Stoner"
Sanctimony,3,1994,Latvia,,"Death,Death ',N',Roll"
Saturnalia Temple,3,2006,Sweden,2006,"Doom,Stoner"
Sear,3,2001,Finland,,"Black,Death"
Season's End,3,1998,United Kingdom,1998,Gothic
Sektemtum,3,2009,France,,Black
Self-Inflicted Violence,3,2007,United Kingdom,2007,"Black,Post-rock"
Sengir,3,1995,Belgium,2007,"Gothic,Death doom"
Sepia Dreamer,3,2003,Sweden,2003,Progressive
Septic Mind,3,2006,Russia,,Funeral doom
Sethian,3,1998,Finland,1998,"Hard rock,Suomi"
Sexcrement,3,2005,USA,,Death
Shadow Host,3,1993,Russia,1993,"Power,Thrash"
Shadowdances,3,1995,"Lithuania, United Kingdom",,"Doom,Melodic death"
Sheavy,3,1993,Canada,1993,"Doom,Stoner"
Shining Fury,3,2001,Italy,,Power
Shturm,3,2003,Russia,2003,"Black,Death"
Sideburn,3,1997,Sweden,,Stoner
Silent Voices,3,1995,Finland,1995,Progressive
Sinister Realm,3,2008,USA,,"Heavy,Doom"
Skeletal Remains,3,2011,USA,2011,Death
Smallman,3,2001,Bulgaria,,"Folk,Post-metal"
Smargroth,3,2006,Slovenia,2006,Black
Sorathian Dawn,3,2009,Australia,,"Black,Death"
Sororicide,3,1990,Iceland,1990,Death
Sorrow Plagues,3,2014,United Kingdom,,"Atmospheric black,Post-rock"
Soul Takers,3,1998,Italy,1998,Progressive
Soulfractured,3,1999,USA,2006,Progressive
Spazmosity,3,1994,Sweden,1994,"Black,Death"
Squealer,3,1986,Germany,,"Heavy,Power,Thrash"
Status Abnormis,3,2010,Finland,2010,"Death,Thrash,Industrial"
Stigma,3,2000,Italy,,Melodic deathcore
Stillborn (POL),3,1997,Poland,1997,"Black,Death"
Stone Gods,3,2006,United Kingdom,,"Hard rock,Heavy"
Sulphur,3,1999,Norway,1999,"Black,Death"
Sumerlands,3,2014,USA,,"Heavy,Power"
Svartelder,3,2015,Norway,2015,Black
Syrens Call,3,1997,France,,"Progressive,Symphonic,Power"
The Crown Of Yamhad,3,2015,Syria,2015,"Atmospheric folk,Symphonic"
The Deathtrip,3,2007,Norway,,Black
The Enochian,3,2007,Greece,2007,Melodic black
The Lumberjack Feedback,3,2008,France,,"Doom,Sludge"
The Order Of Israfel,3,2012,Sweden,2012,Doom
The Ox,3,2012,Spain,,Progressive
The Seven Gates,3,2005,France,2005,Death
The Skull,3,2012,USA,,Doom
The Undivine,3,2005,Finland,2005,"Death,Thrash"
The Weakening,3,2007,Sweden,,"Melodic death,Djent"
Thornafire,3,1998,Chile,1998,Death
Thought Machine,3,2009,Italy,,Industrial
Throneum,3,1996,Poland,1996,"Death,Black"
Thunderbolt,3,2000,Norway,,Heavy
Thy Final Pain,3,2007,Germany,2007,Death
Thy Flesh Consumed,3,2001,Canada,2010,Death
Thy Primordial,3,1994,Sweden,1994,Black
Today I Caught The Plague,3,2007,Canada,2013,"Progressive metalcore,Progressive"
Tonic Breed,3,2006,Norway,2006,Groove thrash
Torrens Conscientium,3,2009,Ukraine,,Funeral doom
Total Fucking Destruction,3,1999,USA,1999,Grindcore
Total Negation,3,2007,Germany,,Black
Totalt Jävla Mörker,3,1996,Sweden,1996,"Blackened hardcore,Crust,Punk"
Transient,3,2008,USA,,Grindcore
Triton Enigma,3,2005,Sweden,2005,"Melodic death,Thrash"
Tsar Bomba,3,2011,France,,Stoner
Tungsten,3,2011,USA,2011,"Progressive rock,Progressive"
Unsilence,3,1993,United Kingdom,,Doom
Uroboros,3,2012,Argentina,2012,"Death,Sludge"
Urskumug,3,2001,Latvia,,Black
Vaee Solis,3,2014,Portugal,2014,Blackened doom
Valborg,3,2002,Germany,,"Progressive doom,Death"
Valhall,3,1987,Norway,1987,"Black,Doom"
Valhalla,3,1997,Spain,2010,"Heavy,Power"
Vandroya,3,2001,Brazil,2001,Progressive power
Vanisher,3,2010,USA,,Metalcore
Venomous Maximus,3,2010,USA,2010,"Doom,Heavy"
Vermiform,3,2010,USA,,Death
Verminous,3,2002,Sweden,2002,Death
Vinterblot,3,2008,Italy,,Melodic death
Virus IV,3,2006,Belgium,2006,"Progressive power,Progressive heavy"
Viuda Negra,3,1996,Ecuador,2010,Progressive
Voice Of The Soul,3,2007,UAE,2007,Death
Vorkreist,3,1999,France,,"Black,Death"
Vulcain,3,1981,France,1981,Heavy
Waken Eyes,3,2013,Canada,,"Progressive rock,Progressive"
Walk Through Fire,3,2008,Sweden,2008,"Sludge,Doom"
War,3,1995,Sweden,2001,Black
Warhorse,3,1996,USA,1996,"Doom,Stoner"
We All Die (Laughing),3,2013,France,,"Avantgarde,Progressive"
Whales And Aurora,3,2008,Italy,2008,Atmospheric sludge
Wijlen Wij,3,2002,Belgium,2014,Funeral doom
WildeStarr,3,2003,USA,2003,Heavy
Wintersoul,3,2006,United Kingdom,,Black
Witheria,3,1999,Finland,1999,Thrash
Wooden Stake,3,2010,USA,,Death doom
Wormwood,3,2014,Sweden,2014,Atmospheric black
Wotan,3,1988,Italy,,Heavy
WRVTH,3,2007,USA,2007,"Technical death,Deathcore,Post-metal,Hardcore"
X Wild,3,1992,Germany,1996,Heavy
XXX Maniak,3,2003,USA,2003,Grindcore
Yaotl Mictlan,3,1998,"Mexico, USA",,"Black,Folk"
Zealotry,3,2005,USA,2005,Death
ZX Spectrum,3,2001,Latvia,,"Death ',N',Roll"
???????,2,2011,Japan,2011,Black
ÆGES,2,2010,USA,,Alternative
Ænimus (SWE),2,2009,Sweden,2009,"Heavy,Power"
Ö-Nirik,2,2006,France,,"Melodic death,Brutal death"
2 Wolves,2,2010,Finland,2010,"Industrial,Symphonic"
A Canorous Quintet,2,1993,Sweden,1999,Melodic death
Aabsynthum,2,2004,Romania,2004,"Black,Funeral doom"
Abramis Brama,2,1997,Sweden,,Stoner
Abscession,2,2009,Sweden,2009,Death
Abstracter,2,2010,USA,,"Black,Doom,Sludge,Crust,Punk"
Abyssaria,2,1998,Germany,1998,"Black,Gothic"
Aclla,2,2007,Brazil,,Heavy
Adaliah,2,2008,USA,2008,"Deathcore,Melodic hardcore"
Admiral Sir Cloudesley Shovell,2,2008,United Kingdom,,Psychedelic hard rock
Aftershok,2,1996,USA,1996,Heavy
Agro,2,1994,South Africa,,"Power,Thrash"
Ahamkara,2,2013,United Kingdom,2013,Atmospheric black
Aion,2,2013,Switzerland,,Black
Altars,2,2005,Australia,2005,Death
Amnis Nihili,2,2008,Greece,,Black
Anal Blasphemy,2,2002,Finland,2002,Black
Ancestors Revenge,2,2008,Canada,,Death
ANJ,2,2003,Russia,2003,"Alternative,Hard rock"
Antropophobia,2,2009,Russia,,"Atmospheric black,Doom"
Apothecary,2,2012,USA,2012,Death doom
AraPacis,2,2003,Canada,,"Progressive,Doom,Hard rock"
Arctic Winter,2,1989,Germany,1989,"Power,Heavy"
Arkhe,2,1995,Mexico,,Technical death
Arms,2,2012,USA,2012,"Math,Grindcore"
Asguard,2,1996,Belarus,,Melodic death
Ass To Mouth,2,2004,Poland,2004,"Brutal death,Grindcore"
Athelstan,2,2010,United Kingdom,,Folk
Atrium Noctis,2,2002,Germany,2002,Melodic black
Aus Der Transzendenz,2,2009,Austria,,Black
Axevyper,2,2009,Italy,2009,Heavy
Axewitch,2,1979,Sweden,,Heavy
Azoic,2,2011,Iceland,2011,Black
Azure Agony,2,2006,Italy,,Progressive
Barús,2,2015,France,2015,Progressive death
Barghest,2,2006,USA,,Black
Beaten To Death,2,2010,Norway,2010,Grindcore
Beholder (ITA),2,1998,Italy,2005,Melodic heavy
Belfegor,2,1998,Poland,1998,Black
Bellfast,2,1993,Japan,,Celtic folk
Beorn,2,2008,Russia,2008,"Power,Symphonic"
Bill Ward,2,1989,United Kingdom,,Hard rock
Birds Of Prey,2,2006,USA,2006,"Sludge,Death"
Birth Through Gore,2,2007,Greece,,Brutal death
Black Knight Symfonia,2,2008,Monaco,2008,"Gothic,Symphonic,Power"
Blackfinger,2,2012,USA,,Doom
Blackwater,2,2011,USA,2011,"Heavy,Doom"
Blackwood,2,2015,Italy,,"Drone doom,Industrial"
Blood Revolt,2,2010,Canada,2010,"Black,Death"
Blood Stained Dusk,2,1998,USA,,Black
Boomerang,2,1996,Germany,1996,"Heavy,Power"
Camel Of Doom,2,2001,United Kingdom,,"Doom,Stoner"
Cap De Craniu,2,2007,Romania,2007,"Death,Grindcore"
Cardinals Folly,2,2007,Finland,,Doom
Carn Dûm,2,2012,Germany,2012,Black
Carnal Lust,2,1998,France,,Brutal death
Carpatica,2,2009,Romania,2009,"Pagan black,Folk"
Catarsis Incarne,2,2002,Costa Rica,,Death
Cavus,2,2008,Finland,2008,Black
Chaos Magic,2,2015,Chile,,"Symphonic,Gothic"
Chaosfear,2,1999,Brazil,1999,Thrash
Chariot,2,1981,United Kingdom,,"New wave of british heavy,Heavy"
Chariots Of The Gods,2,2007,Canada,2007,"Melodic death,Metalcore"
Christgrinder,2,2009,United Kingdom,,"Black,Death"
Cloud Rat,2,2010,USA,2010,Grindcore
Coliseum,2,2003,USA,,"Hardcore,Post-,Hardcore,Punk"
Colombian Necktie,2,2010,USA,2010,"Sludge,Alternative"
Common Grave,2,1999,Italy,,"Brutal death,Black"
Communion Of Thieves,2,2010,USA,2010,"Black,Grindcore"
Coprolith,2,2001,Finland,,"Death,Black"
Coven 13,2,1985,USA,1985,Doom
Crehated,2,2005,Italy,,"Death,Thrash"
Cretura,2,2010,Norway,2010,Extreme symphonic
Crimson Sun,2,2001,Finland,,Symphonic
Crom Dubh,2,2003,United Kingdom,2003,Black
Crossbreed,2,1996,USA,,Industrial
Cryptal Darkness,2,1993,Australia,1993,"Gothic doom,Death doom"
Cryptic Warning,2,2000,USA,2006,"Technical death,Thrash"
Dahakara,2,2013,Turkey,2013,"Ambient,Experimental black"
Dakesis,2,2008,United Kingdom,,Progressive power
Dark Arena,2,2004,USA,2004,"Power,Progressive,Thrash"
Dead In The Dirt,2,2008,USA,2014,Grindcore
Dead Infection,2,1990,Poland,1990,Deathgrind
Dead River Runs Dry,2,2012,Australia,,Black
Deadlands,2,2010,USA,2010,Us power
Deadly Mosh,2,2008,Serbia,,Thrash
Deafening Silence,2,1997,France,1997,Heavy
Death Of Self,2,2008,USA,2012,Grindcore
Death Penalty,2,2013,,2013,"Doom,Heavy"
Death Toll 80k,2,2005,Finland,,Grindcore
Deathrite,2,2010,Germany,2010,Grindcore
Defender,2,1984,The Netherlands,,"Power,Thrash"
Desolate Pathway,2,2013,United Kingdom,2013,Epic doom
Despair (SYR),2,2009,Syria,,Black
Desperado,2,1988,USA,1988,Heavy
Despond,2,1995,France,2004,Doom
Deuil,2,2012,Belgium,2012,"Black,Doom,Sludge"
Deus X Machina,2,2012,Argentina,,"Progressive,Power"
Di'Anno,2,1983,United Kingdom,1983,"Hard rock,Heavy"
Dialectic Soul,2,2000,Belarus,,"Symphonic black,Progressive"
Dictator,2,2005,Cyprus,2005,"Black,Funeral doom,Dark,Ambient"
Dissension,2,2007,Canada,,"Melodic death,Melodic black"
Distaste,2,2000,Austria,2000,Grindcore
Doctor Livingstone,2,1998,France,,"Hardcore,Black,Punk"
Doga,2,1989,Czech Republic,1989,"Thrash,Heavy"
Doyle,2,2012,USA,,"Groove metal ,Hardcore"
Dr.X,2,2013,Spain,2013,Heavy
Dramatvm,2,2003,Mexico,,"Melodic death,Gothic"
Dreamlost,2,1996,France,1996,Progressive
Dysrider,2,2014,Switzerland,,Symphonic
Dysylumn,2,2010,France,2010,"Progressive black,Death"
E-Force,2,2001,"Canada, France",,Thrash
Ebonillumini,2,2008,United Kingdom,2008,Avantgarde black
Edgedown,2,2008,Germany,,Heavy
Eeriness,2,1996,Switzerland,1996,"Heavy,Gothic"
Ehnahre,2,2006,USA,,"Black,Death,Doom"
Eibon la Furies,2,2005,United Kingdom,2005,"Gothic,Avantgarde black"
Elvira Madigan,2,1995,Sweden,2008,Symphonic black
Empires Of Eden,2,2008,Australia,2008,Melodic power
Encorion,2,2007,The Netherlands,,Viking folk
Entheos (CAN),2,2011,Canada,2011,Black
Epistasis,2,2008,USA,,Experimental black
Eternal Reign,2,1997,Germany,1997,Power
Eternal Sorrow,2,1994,Brazil,,Gothic doom
Ethernity,2,2000,Belgium,2000,Progressive power
Exhausted Prayer,2,1997,USA,,"Progressive black,Progressive death"
Exiled,2,1997,USA,1997,"Power,Speed,Thrash"
Felony,2,1992,Switzerland,,Melodic heavy
Filii Nigrantium Infernalium,2,1989,Portugal,1989,"Black,Thrash"
Final Crusade,2,2011,Switzerland,,Heavy
Forces United,2,2013,Russia,2013,Power
Fornicus,2,2013,USA,,Black
Foul Body Autopsy,2,2010,United Kingdom,2010,Death
Freitod,2,2005,Germany,,Black
Frightmare,2,2002,USA,2002,"Death,Thrash,Grindcore"
Frozen Winds,2,2007,Cyprus,,Black
Funeral Whore,2,2006,The Netherlands,2006,Death
Gateway To Selfdestruction,2,2013,Germany,,Black
Gehennah,2,1992,Sweden,1992,Thrash
Genocide Shrines,2,2011,Sri Lanka,,"Black,Death"
Ghee-Yeh,2,2008,Chile,2008,Heavy
Ghost Voyage,2,2008,Finland,,Death doom
Goblin Hovel,2,2010,USA,2010,Folk
